"MTU","Out Area","In Area","Physical Flow (MW)"
"16/03/2025 08:00:00 - 16/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 08:00:00 - 16/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","841.97"
"16/03/2025 09:00:00 - 16/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","N/A"
"16/03/2025 09:00:00 - 16/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","N/A"
"16/03/2025 10:00:00 - 16/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 10:00:00 - 16/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","810.09"
"16/03/2025 11:00:00 - 16/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 11:00:00 - 16/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","707.51"
"16/03/2025 12:00:00 - 16/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 12:00:00 - 16/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","650.30"
"16/03/2025 13:00:00 - 16/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 13:00:00 - 16/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","642.02"
"16/03/2025 14:00:00 - 16/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 14:00:00 - 16/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","574.48"
"16/03/2025 15:00:00 - 16/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 15:00:00 - 16/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","630.77"
"16/03/2025 16:00:00 - 16/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 16:00:00 - 16/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","750.69"
"16/03/2025 17:00:00 - 16/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 17:00:00 - 16/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","952.77"
"16/03/2025 18:00:00 - 16/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 18:00:00 - 16/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.49"
"16/03/2025 19:00:00 - 16/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 19:00:00 - 16/03/2025 20:00:00","BZN|GB","BZN|IE(SEM)","978.37"
"16/03/2025 20:00:00 - 16/03/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 20:00:00 - 16/03/2025 21:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"16/03/2025 21:00:00 - 16/03/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 21:00:00 - 16/03/2025 22:00:00","BZN|GB","BZN|IE(SEM)","978.49"
"16/03/2025 22:00:00 - 16/03/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 22:00:00 - 16/03/2025 23:00:00","BZN|GB","BZN|IE(SEM)","976.94"
"16/03/2025 23:00:00 - 17/03/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"16/03/2025 23:00:00 - 17/03/2025 00:00:00","BZN|GB","BZN|IE(SEM)","795.99"
"17/03/2025 00:00:00 - 17/03/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 00:00:00 - 17/03/2025 01:00:00","BZN|GB","BZN|IE(SEM)","574.28"
"17/03/2025 01:00:00 - 17/03/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 01:00:00 - 17/03/2025 02:00:00","BZN|GB","BZN|IE(SEM)","418.63"
"17/03/2025 02:00:00 - 17/03/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 02:00:00 - 17/03/2025 03:00:00","BZN|GB","BZN|IE(SEM)","362.42"
"17/03/2025 03:00:00 - 17/03/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 03:00:00 - 17/03/2025 04:00:00","BZN|GB","BZN|IE(SEM)","298.87"
"17/03/2025 04:00:00 - 17/03/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 04:00:00 - 17/03/2025 05:00:00","BZN|GB","BZN|IE(SEM)","320.91"
"17/03/2025 05:00:00 - 17/03/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 05:00:00 - 17/03/2025 06:00:00","BZN|GB","BZN|IE(SEM)","364.35"
"17/03/2025 06:00:00 - 17/03/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 06:00:00 - 17/03/2025 07:00:00","BZN|GB","BZN|IE(SEM)","206.64"
"17/03/2025 07:00:00 - 17/03/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 07:00:00 - 17/03/2025 08:00:00","BZN|GB","BZN|IE(SEM)","11.44"
"17/03/2025 08:00:00 - 17/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.09"
"17/03/2025 08:00:00 - 17/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"17/03/2025 09:00:00 - 17/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 09:00:00 - 17/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","0.03"
"17/03/2025 10:00:00 - 17/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 10:00:00 - 17/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","1.92"
"17/03/2025 11:00:00 - 17/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.07"
"17/03/2025 11:00:00 - 17/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"17/03/2025 12:00:00 - 17/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 12:00:00 - 17/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","0.04"
"17/03/2025 13:00:00 - 17/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.11"
"17/03/2025 13:00:00 - 17/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"17/03/2025 14:00:00 - 17/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 14:00:00 - 17/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","8.76"
"17/03/2025 15:00:00 - 17/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 15:00:00 - 17/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","45.51"
"17/03/2025 16:00:00 - 17/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 16:00:00 - 17/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","0.04"
"17/03/2025 17:00:00 - 17/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 17:00:00 - 17/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","18.44"
"17/03/2025 18:00:00 - 17/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","7.35"
"17/03/2025 18:00:00 - 17/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"17/03/2025 19:00:00 - 17/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 19:00:00 - 17/03/2025 20:00:00","BZN|GB","BZN|IE(SEM)","26.92"
"17/03/2025 20:00:00 - 17/03/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 20:00:00 - 17/03/2025 21:00:00","BZN|GB","BZN|IE(SEM)","323.83"
"17/03/2025 21:00:00 - 17/03/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 21:00:00 - 17/03/2025 22:00:00","BZN|GB","BZN|IE(SEM)","574.51"
"17/03/2025 22:00:00 - 17/03/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 22:00:00 - 17/03/2025 23:00:00","BZN|GB","BZN|IE(SEM)","564.61"
"17/03/2025 23:00:00 - 18/03/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"17/03/2025 23:00:00 - 18/03/2025 00:00:00","BZN|GB","BZN|IE(SEM)","685.44"
"18/03/2025 00:00:00 - 18/03/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 00:00:00 - 18/03/2025 01:00:00","BZN|GB","BZN|IE(SEM)","543.15"
"18/03/2025 01:00:00 - 18/03/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 01:00:00 - 18/03/2025 02:00:00","BZN|GB","BZN|IE(SEM)","368.37"
"18/03/2025 02:00:00 - 18/03/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 02:00:00 - 18/03/2025 03:00:00","BZN|GB","BZN|IE(SEM)","221.62"
"18/03/2025 03:00:00 - 18/03/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 03:00:00 - 18/03/2025 04:00:00","BZN|GB","BZN|IE(SEM)","128.32"
"18/03/2025 04:00:00 - 18/03/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 04:00:00 - 18/03/2025 05:00:00","BZN|GB","BZN|IE(SEM)","205.50"
"18/03/2025 05:00:00 - 18/03/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 05:00:00 - 18/03/2025 06:00:00","BZN|GB","BZN|IE(SEM)","142.59"
"18/03/2025 06:00:00 - 18/03/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 06:00:00 - 18/03/2025 07:00:00","BZN|GB","BZN|IE(SEM)","45.33"
"18/03/2025 07:00:00 - 18/03/2025 08:00:00","BZN|IE(SEM)","BZN|GB","1.87"
"18/03/2025 07:00:00 - 18/03/2025 08:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"18/03/2025 08:00:00 - 18/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 08:00:00 - 18/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","65.75"
"18/03/2025 09:00:00 - 18/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 09:00:00 - 18/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","134.63"
"18/03/2025 10:00:00 - 18/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 10:00:00 - 18/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","47.93"
"18/03/2025 11:00:00 - 18/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 11:00:00 - 18/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","10.43"
"18/03/2025 12:00:00 - 18/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 12:00:00 - 18/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","0.01"
"18/03/2025 13:00:00 - 18/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 13:00:00 - 18/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","32.73"
"18/03/2025 14:00:00 - 18/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 14:00:00 - 18/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","0.02"
"18/03/2025 15:00:00 - 18/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 15:00:00 - 18/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","0.02"
"18/03/2025 16:00:00 - 18/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 16:00:00 - 18/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","0.03"
"18/03/2025 17:00:00 - 18/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 17:00:00 - 18/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","29.98"
"18/03/2025 18:00:00 - 18/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 18:00:00 - 18/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","18.28"
"18/03/2025 19:00:00 - 18/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 19:00:00 - 18/03/2025 20:00:00","BZN|GB","BZN|IE(SEM)","203.73"
"18/03/2025 20:00:00 - 18/03/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 20:00:00 - 18/03/2025 21:00:00","BZN|GB","BZN|IE(SEM)","605.30"
"18/03/2025 21:00:00 - 18/03/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 21:00:00 - 18/03/2025 22:00:00","BZN|GB","BZN|IE(SEM)","833.77"
"18/03/2025 22:00:00 - 18/03/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 22:00:00 - 18/03/2025 23:00:00","BZN|GB","BZN|IE(SEM)","661.02"
"18/03/2025 23:00:00 - 19/03/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"18/03/2025 23:00:00 - 19/03/2025 00:00:00","BZN|GB","BZN|IE(SEM)","461.28"
"19/03/2025 00:00:00 - 19/03/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 00:00:00 - 19/03/2025 01:00:00","BZN|GB","BZN|IE(SEM)","400.50"
"19/03/2025 01:00:00 - 19/03/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 01:00:00 - 19/03/2025 02:00:00","BZN|GB","BZN|IE(SEM)","341.44"
"19/03/2025 02:00:00 - 19/03/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 02:00:00 - 19/03/2025 03:00:00","BZN|GB","BZN|IE(SEM)","224.43"
"19/03/2025 03:00:00 - 19/03/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 03:00:00 - 19/03/2025 04:00:00","BZN|GB","BZN|IE(SEM)","200.33"
"19/03/2025 04:00:00 - 19/03/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 04:00:00 - 19/03/2025 05:00:00","BZN|GB","BZN|IE(SEM)","192.61"
"19/03/2025 05:00:00 - 19/03/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 05:00:00 - 19/03/2025 06:00:00","BZN|GB","BZN|IE(SEM)","399.54"
"19/03/2025 06:00:00 - 19/03/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 06:00:00 - 19/03/2025 07:00:00","BZN|GB","BZN|IE(SEM)","187.44"
"19/03/2025 07:00:00 - 19/03/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 07:00:00 - 19/03/2025 08:00:00","BZN|GB","BZN|IE(SEM)","120.55"
"19/03/2025 08:00:00 - 19/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 08:00:00 - 19/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","585.22"
"19/03/2025 09:00:00 - 19/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 09:00:00 - 19/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","941.38"
"19/03/2025 10:00:00 - 19/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 10:00:00 - 19/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","960.25"
"19/03/2025 11:00:00 - 19/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 11:00:00 - 19/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","779.27"
"19/03/2025 12:00:00 - 19/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 12:00:00 - 19/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","535.90"
"19/03/2025 13:00:00 - 19/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 13:00:00 - 19/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","669.26"
"19/03/2025 14:00:00 - 19/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 14:00:00 - 19/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","892.67"
"19/03/2025 15:00:00 - 19/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 15:00:00 - 19/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","877.03"
"19/03/2025 16:00:00 - 19/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 16:00:00 - 19/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","978.25"
"19/03/2025 17:00:00 - 19/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 17:00:00 - 19/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"19/03/2025 18:00:00 - 19/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 18:00:00 - 19/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.49"
"19/03/2025 19:00:00 - 19/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 19:00:00 - 19/03/2025 20:00:00","BZN|GB","BZN|IE(SEM)","978.62"
"19/03/2025 20:00:00 - 19/03/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 20:00:00 - 19/03/2025 21:00:00","BZN|GB","BZN|IE(SEM)","978.47"
"19/03/2025 21:00:00 - 19/03/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 21:00:00 - 19/03/2025 22:00:00","BZN|GB","BZN|IE(SEM)","978.54"
"19/03/2025 22:00:00 - 19/03/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 22:00:00 - 19/03/2025 23:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"19/03/2025 23:00:00 - 20/03/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"19/03/2025 23:00:00 - 20/03/2025 00:00:00","BZN|GB","BZN|IE(SEM)","978.57"
"20/03/2025 00:00:00 - 20/03/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 00:00:00 - 20/03/2025 01:00:00","BZN|GB","BZN|IE(SEM)","866.93"
"20/03/2025 01:00:00 - 20/03/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 01:00:00 - 20/03/2025 02:00:00","BZN|GB","BZN|IE(SEM)","533.72"
"20/03/2025 02:00:00 - 20/03/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 02:00:00 - 20/03/2025 03:00:00","BZN|GB","BZN|IE(SEM)","426.58"
"20/03/2025 03:00:00 - 20/03/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 03:00:00 - 20/03/2025 04:00:00","BZN|GB","BZN|IE(SEM)","354.57"
"20/03/2025 04:00:00 - 20/03/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 04:00:00 - 20/03/2025 05:00:00","BZN|GB","BZN|IE(SEM)","427.45"
"20/03/2025 05:00:00 - 20/03/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 05:00:00 - 20/03/2025 06:00:00","BZN|GB","BZN|IE(SEM)","405.77"
"20/03/2025 06:00:00 - 20/03/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 06:00:00 - 20/03/2025 07:00:00","BZN|GB","BZN|IE(SEM)","188.72"
"20/03/2025 07:00:00 - 20/03/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 07:00:00 - 20/03/2025 08:00:00","BZN|GB","BZN|IE(SEM)","11.73"
"20/03/2025 08:00:00 - 20/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 08:00:00 - 20/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","228.77"
"20/03/2025 09:00:00 - 20/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 09:00:00 - 20/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","443.57"
"20/03/2025 10:00:00 - 20/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 10:00:00 - 20/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","511.73"
"20/03/2025 11:00:00 - 20/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 11:00:00 - 20/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","438.52"
"20/03/2025 12:00:00 - 20/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 12:00:00 - 20/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","223.72"
"20/03/2025 13:00:00 - 20/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 13:00:00 - 20/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","15.14"
"20/03/2025 14:00:00 - 20/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 14:00:00 - 20/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","0.03"
"20/03/2025 15:00:00 - 20/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 15:00:00 - 20/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","0.02"
"20/03/2025 16:00:00 - 20/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 16:00:00 - 20/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","0.02"
"20/03/2025 17:00:00 - 20/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 17:00:00 - 20/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","9.61"
"20/03/2025 18:00:00 - 20/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","33.24"
"20/03/2025 18:00:00 - 20/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"20/03/2025 19:00:00 - 20/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.01"
"20/03/2025 19:00:00 - 20/03/2025 20:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"20/03/2025 20:00:00 - 20/03/2025 21:00:00","BZN|IE(SEM)","BZN|GB","N/A"
"20/03/2025 20:00:00 - 20/03/2025 21:00:00","BZN|GB","BZN|IE(SEM)","N/A"
"20/03/2025 21:00:00 - 20/03/2025 22:00:00","BZN|IE(SEM)","BZN|GB","1.22"
"20/03/2025 21:00:00 - 20/03/2025 22:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"20/03/2025 22:00:00 - 20/03/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"20/03/2025 22:00:00 - 20/03/2025 23:00:00","BZN|GB","BZN|IE(SEM)","10.88"
"20/03/2025 23:00:00 - 21/03/2025 00:00:00","BZN|IE(SEM)","BZN|GB","14.82"
"20/03/2025 23:00:00 - 21/03/2025 00:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 00:00:00 - 21/03/2025 01:00:00","BZN|IE(SEM)","BZN|GB","24.94"
"21/03/2025 00:00:00 - 21/03/2025 01:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 01:00:00 - 21/03/2025 02:00:00","BZN|IE(SEM)","BZN|GB","111.57"
"21/03/2025 01:00:00 - 21/03/2025 02:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 02:00:00 - 21/03/2025 03:00:00","BZN|IE(SEM)","BZN|GB","115.18"
"21/03/2025 02:00:00 - 21/03/2025 03:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 03:00:00 - 21/03/2025 04:00:00","BZN|IE(SEM)","BZN|GB","114.61"
"21/03/2025 03:00:00 - 21/03/2025 04:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 04:00:00 - 21/03/2025 05:00:00","BZN|IE(SEM)","BZN|GB","114.72"
"21/03/2025 04:00:00 - 21/03/2025 05:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 05:00:00 - 21/03/2025 06:00:00","BZN|IE(SEM)","BZN|GB","114.62"
"21/03/2025 05:00:00 - 21/03/2025 06:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 06:00:00 - 21/03/2025 07:00:00","BZN|IE(SEM)","BZN|GB","114.63"
"21/03/2025 06:00:00 - 21/03/2025 07:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 07:00:00 - 21/03/2025 08:00:00","BZN|IE(SEM)","BZN|GB","169.86"
"21/03/2025 07:00:00 - 21/03/2025 08:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 08:00:00 - 21/03/2025 09:00:00","BZN|IE(SEM)","BZN|GB","128.15"
"21/03/2025 08:00:00 - 21/03/2025 09:00:00","BZN|GB","BZN|IE(SEM)","0.00"
"21/03/2025 09:00:00 - 21/03/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 09:00:00 - 21/03/2025 10:00:00","BZN|GB","BZN|IE(SEM)","130.27"
"21/03/2025 10:00:00 - 21/03/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 10:00:00 - 21/03/2025 11:00:00","BZN|GB","BZN|IE(SEM)","422.37"
"21/03/2025 11:00:00 - 21/03/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 11:00:00 - 21/03/2025 12:00:00","BZN|GB","BZN|IE(SEM)","772.77"
"21/03/2025 12:00:00 - 21/03/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 12:00:00 - 21/03/2025 13:00:00","BZN|GB","BZN|IE(SEM)","968.52"
"21/03/2025 13:00:00 - 21/03/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 13:00:00 - 21/03/2025 14:00:00","BZN|GB","BZN|IE(SEM)","945.57"
"21/03/2025 14:00:00 - 21/03/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 14:00:00 - 21/03/2025 15:00:00","BZN|GB","BZN|IE(SEM)","878.28"
"21/03/2025 15:00:00 - 21/03/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 15:00:00 - 21/03/2025 16:00:00","BZN|GB","BZN|IE(SEM)","878.41"
"21/03/2025 16:00:00 - 21/03/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 16:00:00 - 21/03/2025 17:00:00","BZN|GB","BZN|IE(SEM)","879.26"
"21/03/2025 17:00:00 - 21/03/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 17:00:00 - 21/03/2025 18:00:00","BZN|GB","BZN|IE(SEM)","968.77"
"21/03/2025 18:00:00 - 21/03/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"21/03/2025 18:00:00 - 21/03/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.39"
"21/03/2025 19:00:00 - 21/03/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
